id,text_original
S1,Dornröschen. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Dornröschen. Das Märchen geht so:
S2,Ein König und eine Königin wünschen sich ein Kind. An einem Morgen badet die Königin. Da kommt ein Frosch.
S3,Der Frosch sagt zur Königin: Du bekommst noch in diesem Jahr ein Kind.
S4,Und der Frosch hat recht: Die Königin bekommt noch im gleichen Jahr ein Mädchen. Das Mädchen heißt: Dornröschen.
S5,Der König und die Königin sind sehr glücklich. Deshalb feiern der König und die Königin ein großes Fest.
S6,Zu diesem Fest lädt der König alle ein: Die Familie. Freunde. Und viele andere Gäste.
S7,Der König will auch die 13 Feen aus dem Königreich einladen. Feen können Wünsche erfüllen.
S8,Die 13 Feen sollen Dornröschen gute Dinge wünschen.
S9,Und die 13 Feen sollen von goldenen Tellern essen.
S10,Aber der König hat nur 12 goldene Teller. Deshalb lädt der König nur 12 Feen ein.
S11,Das heißt: Die 13. Fee darf nicht zu dem großen Fest kommen.
S12,Es ist der Tag von dem Fest. Viele Gäste sind gekommen. Und auch die 12 Feen sind auf dem Fest.
S13,Die Feen sprechen ihre guten Wünsche zu Dornröschen:
S14,Die Feen wünschen Dornröschen Schönheit. Und Freundlichkeit. Und viele andere Dinge.
S15,So sprechen 11 Feen ihre guten Wünsche.
S16,Plötzlich kommt die 13. Fee zur Tür herein. Die 13. Fee ist sehr wütend.
S17,Der König hat die 13. Fee nämlich nicht eingeladen. Der König hatte ja nur 12 goldene Teller.
S18,Jetzt sagt die 13. Fee zum König und zur Königin:
S19,An ihrem 15. Geburtstag soll sich Dornröschen an einer Spindel stechen. Und sterben.
S20,So spricht die 13. Fee ihren bösen Wunsch. Und verschwindet.
S21,Die Gäste sind erschrocken. Und alle Menschen auf dem Fest haben Angst.
S22,Aber zum Glück hat die 12. Fee ihren Wunsch noch nicht gesprochen:
S23,Die 12. Fee kann den bösen Wunsch nicht rückgängig machen. Aber die 12. Fee kann den bösen Wunsch verwandeln.
S24,So sagt die 12. Fee: Dornröschen wird an ihrem 15. Geburtstag nicht sterben.
S25,Aber Dornröschen wird 100 Jahre schlafen. Jetzt hat auch der König Angst.
S26,Und sagt: Alle Spindeln im Königreich werden verbrannt.
S27,So kann sich Dornröschen nicht an einer Spindel stechen. Und Dornröschen muss nicht 100 Jahre schlafen.
S28,Die Jahre vergehen. Und Dornröschen wird älter.
S29,Alle guten Wünsche von den 12 Feen gehen in Erfüllung:
S30,Dornröschen ist sehr schön. Und Dornröschen ist sehr freundlich. Und alle mögen Dornröschen.
S31,Es ist der 15. Geburtstag von Dornröschen: Dornröschen ist allein. Und Dornröschen erkundet das Schloss.
S32,Dornröschen kommt zu einem alten Turm. Im Turm ist ein kleines Zimmer. Dornröschen geht in das kleine Zimmer:
S33,Eine alte Frau sitzt an einem Spinnrad. Die alte Frau arbeitet mit einer Spindel.
S34,Dornröschen fragt die alte Frau: Was machst du da?
S35,Die alte Frau antwortet: Ich mache Wolle zu einem Faden.
S36,Dornröschen ist neugierig. Dornröschen hat noch nie eine Spindel gesehen. Dornröschen nimmt die Spindel in die Hand.
S37,Plötzlich geht der böse Wunsch von der 13. Fee in Erfüllung: Dornröschen sticht sich an der Spindel.
S38,Und Dornröschen fällt in einen tiefen Schlaf. Aber nicht nur Dorn·röschen schläft ein.
S39,Auch die Menschen im Schloss schlafen ein: Der König und die Königin. Der Koch. Die Diener.
S40,Und sogar die Tiere schlafen ein: Die Pferde im Stall. Die Tauben auf dem Dach. Und die Fliegen an der Wand.
S41,Jetzt ist es überall still. Die Jahre vergehen.
S42,Und eine Dornenhecke wächst um das Schloss. Die Dornenhecke wird jedes Jahr größer. Bis das ganze Schloss von der Dornenhecke bedeckt ist.
S43,Die Menschen im Land erzählen sich die Geschichte von Dornröschen.
S44,Und viele Prinzen wollen in das Schloss. Die Prinzen wollen Dornröschen wecken.
S45,Aber die Dornenhecke bedeckt das ganze Schloss. Und die Dornen sind sehr gefährlich.
S46,Viele Prinzen stechen sich an den Dornen. Und viele Prinzen sterben.
S47,Dornröschen schläft jetzt schon 100 Jahre. Aber kein Prinz konnte Dornröschen wecken.
S48,Da kommt ein besonderer Prinz in das Land. Der Prinz hört die Geschichte von Dornröschen.
S49,Der Prinz denkt: Viele Prinzen wollten Dornröschen wecken. Und viele Prinzen sind in der Dornenhecke gestorben.
S50,Aber ich habe keine Angst. Ich werde Dornröschen wecken.
S51,Und so reitet der Prinz zum Schloss von Dornröschen. Der Prinz kommt zu dem Schloss von Dornröschen. Und der Prinz sieht die Dornenhecke.
S52,Der Prinz entdeckt einen geheimen Weg. Dieser Weg führt durch die Dornenhecke.
S53,Der Prinz geht den Weg entlang. Und der Prinz sticht sich nicht an den Dornen.
S54,So kommt der Prinz bis ins Schloss. Im Schloss ist es ganz still. Alle schlafen nämlich.
S55,Der Prinz geht durch das Schloss. Und der Prinz findet den alten Turm.
S56,Im Turm liegt Dornröschen auf einem Bett. Und schläft.
S57,Der Prinz sieht Dornröschen. Und der Prinz denkt: Dornröschen ist sehr schön.
S58,Der Prinz bückt sich zu Dornröschen herunter. Und der Prinz küsst Dornröschen.
S59,Plötzlich öffnet Dornröschen die Augen. Und Dornröschen lächelt den Prinzen an.
