Text,Sentiments,Multi
"Dornröschen. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Dornröschen. Das Märchen geht so:",neutral,no
"Ein König und eine Königin wünschen sich ein Kind. An einem Morgen badet die Königin. Da kommt ein Frosch.",neutral,no
"Der Frosch sagt zur Königin: Du bekommst noch in diesem Jahr ein Kind.",positive,no
"Und der Frosch hat recht: Die Königin bekommt noch im gleichen Jahr ein Mädchen. Das Mädchen heißt: Dornröschen.",positive,no
"Der König und die Königin sind sehr glücklich. Deshalb feiern der König und die Königin ein großes Fest.",positive,no
"Zu diesem Fest lädt der König alle ein: Die Familie. Freunde. Und viele andere Gäste.",positive,no
"Der König will auch die 13 Feen aus dem Königreich einladen. Feen können Wünsche erfüllen.",positive,no
"Die 13 Feen sollen Dornröschen gute Dinge wünschen.",positive,no
"Und die 13 Feen sollen von goldenen Tellern essen.",neutral,no
"Aber der König hat nur 12 goldene Teller. Deshalb lädt der König nur 12 Feen ein.",neutral,no
"Das heißt: Die 13. Fee darf nicht zu dem großen Fest kommen.",neutral,no
"Es ist der Tag von dem Fest. Viele Gäste sind gekommen. Und auch die 12 Feen sind auf dem Fest.",positive,no
"Die Feen sprechen ihre guten Wünsche zu Dornröschen:",positive,no
"Die Feen wünschen Dornröschen Schönheit. Und Freundlichkeit. Und viele andere Dinge.",positive,no
"So sprechen 11 Feen ihre guten Wünsche.",positive,no
"Plötzlich kommt die 13. Fee zur Tür herein. Die 13. Fee ist sehr wütend.",negative,no
"Der König hat die 13. Fee nämlich nicht eingeladen. Der König hatte ja nur 12 goldene Teller.",neutral,no
"Jetzt sagt die 13. Fee zum König und zur Königin:",neutral,no
"An ihrem 15. Geburtstag soll sich Dornröschen an einer Spindel stechen. Und sterben.",negative,no
"So spricht die 13. Fee ihren bösen Wunsch. Und verschwindet.",negative,no
"Die Gäste sind erschrocken. Und alle Menschen auf dem Fest haben Angst.",negative,no
"Aber zum Glück hat die 12. Fee ihren Wunsch noch nicht gesprochen:",positive,no
"Die 12. Fee kann den bösen Wunsch nicht rückgängig machen. Aber die 12. Fee kann den bösen Wunsch verwandeln.",neutral,no
"So sagt die 12. Fee: Dornröschen wird an ihrem 15. Geburtstag nicht sterben.",positive,no
"Aber Dornröschen wird 100 Jahre schlafen. Jetzt hat auch der König Angst.",negative,no
"Und sagt: Alle Spindeln im Königreich werden verbrannt.",neutral,no
"So kann sich Dornröschen nicht an einer Spindel stechen. Und Dornröschen muss nicht 100 Jahre schlafen.",positive,no
"Die Jahre vergehen. Und Dornröschen wird älter.",neutral,no
"Alle guten Wünsche von den 12 Feen gehen in Erfüllung:",positive,no
"Dornröschen ist sehr schön. Und Dornröschen ist sehr freundlich. Und alle mögen Dornröschen.",positive,no
"Es ist der 15. Geburtstag von Dornröschen: Dornröschen ist allein. Und Dornröschen erkundet das Schloss.",neutral,no
"Dornröschen kommt zu einem alten Turm. Im Turm ist ein kleines Zimmer. Dornröschen geht in das kleine Zimmer:",neutral,no
"Eine alte Frau sitzt an einem Spinnrad. Die alte Frau arbeitet mit einer Spindel.",neutral,no
"Dornröschen fragt die alte Frau: Was machst du da?",neutral,no
"Die alte Frau antwortet: Ich mache Wolle zu einem Faden.",neutral,no
"Dornröschen ist neugierig. Dornröschen hat noch nie eine Spindel gesehen. Dornröschen nimmt die Spindel in die Hand.",neutral,no
"Plötzlich geht der böse Wunsch von der 13. Fee in Erfüllung: Dornröschen sticht sich an der Spindel.",negative,no
"Und Dornröschen fällt in einen tiefen Schlaf. Aber nicht nur Dorn·röschen schläft ein.",negative,no
"Auch die Menschen im Schloss schlafen ein: Der König und die Königin. Der Koch. Die Diener.",negative,no
"Und sogar die Tiere schlafen ein: Die Pferde im Stall. Die Tauben auf dem Dach. Und die Fliegen an der Wand.",neutral,no
"Jetzt ist es überall still. Die Jahre vergehen.",neutral,no
"Und eine Dornenhecke wächst um das Schloss. Die Dornenhecke wird jedes Jahr größer. Bis das ganze Schloss von der Dornenhecke bedeckt ist.",neutral,no
"Die Menschen im Land erzählen sich die Geschichte von Dornröschen.",neutral,no
